class	family ID	name 	accession	domain	phylum	species	pdb	genebank	gene	protein	transl_table	desc	sequence
jelly	ssRNA	jelly	1bbt2	Virus	Picornaviridae	FMDV	1bbt						
jelly	ssRNA	jelly	1bev2	Virus	Picornaviridae	Bovine enterovirus	1bev						
jelly	ssRNA	jelly	1d4m2	Virus	Picornaviridae	Human coxsackievirus	1d4m						
jelly	ssRNA	jelly	1b35A	Virus	Dicistroviridae	Cricket paralysis virus	1b35						
jelly	ssRNA	jelly	1mec1	Virus	Picornaviridae	Mengovirus	1mec						
